region,category,parameter,mode,powertrain,year,unit,value,lat,lon,country_std,iso_code,num_chargers,charger_density,cluster
Australia,Historical,EV stock,Cars,PHEV,2023,Vehicles,31000.0,-24.7761086,134.755,Australia,AU,200,0.006451404793393761,0
Australia,Historical,EV stock,Cars,BEV,2023,Vehicles,150000.0,-24.7761086,134.755,Australia,AU,200,0.0013333244445037033,0
Australia,Historical,EV stock,Cars,FCEV,2023,Vehicles,65.0,-24.7761086,134.755,Australia,AU,200,3.0303030303030303,0
Austria,Historical,EV stock,Cars,FCEV,2023,Vehicles,89.0,47.59397,14.12456,Austria,AT,200,2.2222222222222223,0
Austria,Historical,EV stock,Cars,PHEV,2023,Vehicles,61000.0,47.59397,14.12456,Austria,AT,200,0.003278634776479074,0
Austria,Historical,EV stock,Cars,BEV,2023,Vehicles,160000.0,47.59397,14.12456,Austria,AT,200,0.0012499921875488277,0
Belgium,Historical,EV stock,Cars,BEV,2023,Vehicles,190000.0,50.6402809,4.6667145,Belgium,BE,200,0.001052626038810322,0
Belgium,Historical,EV stock,Cars,PHEV,2023,Vehicles,280000.0,50.6402809,4.6667145,Belgium,BE,200,0.0007142831632744169,0
Belgium,Historical,EV stock,Cars,FCEV,2023,Vehicles,99.0,50.6402809,4.6667145,Belgium,BE,200,2.0,0
Brazil,Historical,EV stock,Cars,BEV,2023,Vehicles,33000.0,-10.3333333,-53.2,Brazil,BR,200,0.006060422411442078,0
Brazil,Historical,EV stock,Cars,FCEV,2023,Vehicles,3.0,-10.3333333,-53.2,Brazil,BR,200,50.0,0
Brazil,Historical,EV stock,Cars,PHEV,2023,Vehicles,59000.0,-10.3333333,-53.2,Brazil,BR,200,0.003389773054693988,0
Canada,Historical,EV stock,Cars,FCEV,2023,Vehicles,320.0,61.0666922,-107.991707,Canada,CA,200,0.6230529595015576,0
Canada,Historical,EV stock,Cars,BEV,2023,Vehicles,380000.0,61.0666922,-107.991707,Canada,CA,200,0.0005263144044357778,0
Canada,Historical,EV stock,Cars,PHEV,2023,Vehicles,170000.0,61.0666922,-107.991707,Canada,CA,200,0.0011764636678607773,0
Chile,Historical,EV stock,Cars,PHEV,2023,Vehicles,1800.0,-31.7613365,-71.3187697,Chile,CL,184,0.10216546363131594,0
Chile,Historical,EV stock,Cars,BEV,2023,Vehicles,2100.0,-31.7613365,-71.3187697,Chile,CL,184,0.08757734412184674,0
Chile,Historical,EV stock,Cars,FCEV,2023,Vehicles,2.0,-31.7613365,-71.3187697,Chile,CL,184,61.333333333333336,0
China,Historical,EV stock,Cars,PHEV,2023,Vehicles,5800000.0,35.000074,104.999927,China,CN,15,2.5862064506540604e-06,2
China,Historical,EV stock,Cars,BEV,2023,Vehicles,16000000.0,35.000074,104.999927,China,CN,15,9.374999414062536e-07,1
China,Historical,EV stock,Cars,FCEV,2023,Vehicles,760.0,35.000074,104.999927,China,CN,15,0.01971090670170828,0
Costa Rica,Historical,EV stock,Cars,BEV,2023,Vehicles,9000.0,10.2735633,-84.0739102,Costa Rica,CR,175,0.019442284190645483,0
Denmark,Historical,EV stock,Cars,BEV,2023,Vehicles,200000.0,55.670249,10.3333283,Denmark,DK,200,0.0009999950000249998,0
Denmark,Historical,EV stock,Cars,PHEV,2023,Vehicles,110000.0,55.670249,10.3333283,Denmark,DK,200,0.00181816528940646,0
Denmark,Historical,EV stock,Cars,FCEV,2023,Vehicles,230.0,55.670249,10.3333283,Denmark,DK,200,0.8658008658008658,0
Finland,Historical,EV stock,Cars,PHEV,2023,Vehicles,140000.0,63.2467777,25.9209164,Finland,FI,200,0.0014285612245626817,0
Finland,Historical,EV stock,Cars,BEV,2023,Vehicles,84000.0,63.2467777,25.9209164,Finland,FI,200,0.0023809240366186118,0
Finland,Historical,EV stock,Cars,FCEV,2023,Vehicles,2.0,63.2467777,25.9209164,Finland,FI,200,66.66666666666667,0
France,Historical,EV stock,Cars,FCEV,2023,Vehicles,890.0,46.603354,1.8883335,France,FR,200,0.2244668911335578,0
France,Historical,EV stock,Cars,PHEV,2023,Vehicles,590000.0,46.603354,1.8883335,France,FR,200,0.0003389824763008876,0
France,Historical,EV stock,Cars,BEV,2023,Vehicles,980000.0,46.603354,1.8883335,France,FR,200,0.00020408142440670978,0
Germany,Historical,EV stock,Cars,FCEV,2023,Vehicles,2400.0,51.1638175,10.4478313,Germany,DE,200,0.08329862557267805,0
Germany,Historical,EV stock,Cars,BEV,2023,Vehicles,1500000.0,51.1638175,10.4478313,Germany,DE,200,0.0001333332444445037,0
Germany,Historical,EV stock,Cars,PHEV,2023,Vehicles,1000000.0,51.1638175,10.4478313,Germany,DE,200,0.0001999998000002,0
Greece,Historical,EV stock,Cars,BEV,2023,Vehicles,13000.0,38.9953683,21.9877132,Greece,GR,200,0.015383432043688947,0
Greece,Historical,EV stock,Cars,PHEV,2023,Vehicles,21000.0,38.9953683,21.9877132,Greece,GR,200,0.009523356030665207,0
Iceland,Historical,EV stock,Cars,PHEV,2023,Vehicles,22000.0,64.9841821,-18.1059013,Iceland,IS,200,0.009090495886550611,0
Iceland,Historical,EV stock,Cars,FCEV,2023,Vehicles,27.0,64.9841821,-18.1059013,Iceland,IS,200,7.142857142857143,0
Iceland,Historical,EV stock,Cars,BEV,2023,Vehicles,22000.0,64.9841821,-18.1059013,Iceland,IS,200,0.009090495886550611,0
India,Historical,EV stock,Cars,BEV,2023,Vehicles,150000.0,22.3511148,78.6677428,India,IN,200,0.0013333244445037033,0
India,Historical,EV stock,Cars,FCEV,2023,Vehicles,3.0,22.3511148,78.6677428,India,IN,200,50.0,0
